"FIGI","ISIN","CUSIP","SEDOL","TICKER","COUNTRY_CD","SECURITY_DESCRIPTION","PRICE","CURRENCY_CD"
BBG002VN7556,US037411BA28,"037411BA2",B7XL9Z6,APA43,US,APA CORPORATION 4.75% SNR 15/04/43,81.33794,USD
BBG002H1GWV2,US58013MEN02,"58013MEN0",B6T0R90,MCD42,US,MCDONALD'S CORPORATION 3.7% SNR MTN 15/02/2042 USD,79.28192,USD
BBG002W1J961,US45138LBA08,"45138LBA0",B7KWT29,IDA/42,US,IDAHO POWER CORPORATION 4.3% 1MTG MTN 01/04/42 USD,84.10482,USD
BBG002W18Y86,US501044CR02,"501044CR0",B6ZH8X6,KR42,US,KROGER CO 5% SNR 15/04/2042 USD,94.83366,USD
BBG002W5QYP8,US694308GZ44,"694308GZ4",B80L9N4,PCG42,US,PACIFIC GAS & ELECTRIC CO 4.45% SNR 15/04/2042 USD,81.5364,USD
BBG00002SFV6,US413875AE50,"413875AE5","2895602",LHX26,US,L3 HARRIS TECHNOLOGIES INC 7% DEB 15/01/2026,103.12759,USD
BBG0000362Z3,US459200AN17,"459200AN1","2014775",IBM45,US,INTERNATIONAL BUS MACH CORP 7% DEB 30/10/2045,110.85953,USD
BBG000023RP4,US460146BD47,"460146BD4","2488314",IP29,US,INTERNATIONAL PAPER CO 6.875% DEB 15/04/29,109.29188,USD
BBG0000895Q2,US461070AC88,"461070AC8",BG6L730,LNT/33,US,INTERSTATE POWER& LIGHT CO 6.45% DEB 15/10/33,107.82545,USD
BBG002YHXNH5,US00817YAJ73,"00817YAJ7",B87F9L7,AET42,US,AETNA INC 4.5% SNR 15/05/2042 USD,84.3061,USD
BBG002YL9J73,US94973VAY39,"94973VAY3",B87XCP6,ELV42,US,ELEVANCE HEALTH INC 4.625% SNR 15/05/42,89.56915,USD
BBG00003NCL7,US637432BS38,"637432BS3",B0FRG30,NRUC26,US,NATIONAL RURAL UTILITIES COOP FIN 7.35% BDS 01/11/2026 USD,105.71919,USD
BBG002YWT826,US74456QAZ90,"74456QAZ9",B8BHNS4,PEG/42A,US,PUBLIC SERVICE ELECTRIC & GAS CO 3.95% SNR SEC 01/05/42 USD,83.62134,USD
BBG009S1XLL1,US06050WHG33,"06050WHG3",BZ3CCL2,BAC40B,US,BANK OF AMERICA CORPORATION 4.15% SNR MTN 15/08/40 USD,88.33758,USD
BBG000053HP9,US869049AE62,"869049AE6","2312673",EXR/27,US,SUSA PARTNERSHIP LP 7.5% DEB 01/12/2027,107.73983,USD
BBG00002HB65,US00915XBN03,"00915XBN0","2955227",APD26C,US,AIR PRODUCTS & CHEMICALS INC 7.8% SNR MTN 15/06/2026 USD,104.94249,USD
BBG00007LWV5,US45475QAR48,"45475QAR4",BYXK747,CNP/29A,US,INDIANA GAS INC MT 7.08% SNR MTN 05/10/29 USD,109.85993,USD
BBG000058RG2,US191219BC74,"191219BC7","2139429",CCEP38,US,COCA-COLA REFRESHMENTS USA INC 6.75% DEB 15/01/38,115.13875,USD
BBG007FDR3Q5,US69353REF10,"69353REF1",BSBMWR1,PNC/24,US,PNC BK N A PITTSBURGH PA 3.3% SNR MTN 30/10/2024 USD,100,USD
BBG007FHSFS6,US097023BH74,"097023BH7",BSBMW60,BA24A,US,BOEING CO 2.85% SNR 30/10/2024 USD,100,USD
BBG000050S78,US12641LBU61,"12641LBU6","2319180",CSX28,US,CSX CORP 6.8% SNR MTN 01/12/2028 USD,107.88,USD
BBG00003NQ54,US158525AT25,"158525AT2","2394905",IP/26A,US,INTERNATIONAL PAPER CO 7.2% DEB 01/11/2026,106.24872,USD
BBG00003JTP1,US191219AX21,"191219AX2","2746056",CCEP36,US,COCA-COLA REFRESHMENTS USA INC 6.7% DEB 15/10/2036,115.32026,USD
BBG00008PP26,US291641AZ17,"291641AZ1",BFWXD80,AQN35,US,EMPIRE DISTRICT ELECTRIC CO 5.8% SNR 01/07/2035,100.48182,USD
BBG00005H044,US413875AF26,"413875AF2","2955681",LHX28,US,L3 HARRIS TECHNOLOGIES INC 6.35% DEB 01/02/2028 USD,103.07727,USD
BBG006Q44XR3,US96950FAQ72,"96950FAQ7",BNQ4V92,WPZ25,US,WILLIAMS PARTNERS L P NEW 3.9% SNR 15/01/2025,100,USD
BBG00002MWZ1,US45475QAC78,"45475QAC7",BYYHG51,CNP/25,US,INDIANA GAS INC MT 6.53% SNR MTN 27/06/25 USD,100.49629,USD
BBG0000K7W60,US410867AB18,"410867AB1",B44XDG9,THG/27,US,HANOVER INSURANCE GROUP 8.207% DEB 03/02/27 USD'BB',104.96201,USD
BBG00009B881,US655855FB58,"655855FB5",B23Y6G0,NSC43,US,NORFOLK SOUTHERN RAILWAY CO VA 7.875% SNR 15/05/43,119.0575,USD
BBG00000TH27,US620076AP47,"620076AP4","2320494",MSI28,US,MOTOROLA SOLUTIONS INC 6.5% DEB 15/11/2028,105.88638,USD
BBG00004RJG2,US581557AM75,"581557AM7",B00SZX1,MCK27,US,MCKESSON CORPORATION 7.65% DEB 01/03/27,105.74426,USD
BBG000065DK9,US257867AF84,"257867AF8",BYZJC92,RRD31,US,DONNELLEY RR & SONS CO 8.82% DEB 15/04/31,107.0685,USD
BBG0072J8VN8,US828807CS47,"828807CS4",BQQLW79,SPG/24A,US,SIMON PROPERTY GROUP L.P. 3.375% SNR 01/10/24,99.97,USD
BBG00JGGVZ67,US92346MBT71,"92346MBT7",BYZLN73,VZ47S,US,VERIZON COMMUNICATIONS 4.5% SNR MTN 15/12/2047 USD,83.05087,USD
BBG00003DKD9,US008117AJ28,"008117AJ2",B01YRY3,AET36A,US,AETNA INC 6.97% DEB 15/08/36,109.15841,USD
BBG00005QBT3,US40048CAB90,"40048CAB9","5507681",SCCO/28,US,GRUPO MINERO MEXICO S A 9.25% GTD SNR 01/04/28 USD,108.82081,USD
BBG000039F63,US783549AZ16,"783549AZ1","2880686",R25,US,RYDER SYSTEM INC 6.95% DEB 01/12/25,103.59427,USD
BBG000053FJ0,US45475QAL77,"45475QAL7",BYYHG62,CNP/27B,US,INDIANA GAS INC MT 6.34% SNR MTN 10/12/27 USD,103.94836,USD
BBG00003DGX6,US341099BT55,"341099BT5",B1401N2,DUK/28B,US,DUKE ENERGY FLA LLC 6.75% MTN 01/02/2028,105.78195,USD
BBG00003Z8N1,US071813AP41,"071813AP4","2489232",BAX27,US,BAXTER INTERNATIONAL INC 7.65% DEB 01/02/27,104.74847,USD
BBG00003B2J5,US90982PAA57,"90982PAA5","9A1ONSJ",ATO/25,US,UNITED CITIES GAS CO MTN BE 6.67% SNR MTN 15/12/25 USD,102.68147,USD
BBG0000R07V9,US837004CD04,"837004CD0",BHZGQZ8,D/39,US,DOMINION ENERGY SOUTH CAROLINA INC 5.5% 1MTG 15/12/2039 USD,98.9385,USD
BBG00473G8N7,US054303AZ59,"054303AZ5",B8YPH38,AVP43,US,AVON PRODUCTS INC 6.95% SNR 15/03/43,3,USD
BBG00003K0R0,US93884PCJ75,"93884PCJ7",B11PG80,WGL26,US,WASHINGTON GAS LIGHT CO 6.82% SNR MTN 09/10/26 USD,102.56629,USD
BBG0000BZDH9,US49455WAF32,"49455WAF3",B11B5P8,KMR/36,US,KINDER MORGAN FINANCE 6.4% GTD 05/01/2036 USD,101.63111,USD
BBG000054P34,US039483AP70,"039483AP7",B1FSDP1,ADM97,US,ARCHER-DANIELS-MIDLAND CO 6.95% DEB 15/12/97,105.07622,USD
BBG006Q10086,US38143CGT27,"38143CGT2",BTF8RK0,GS34D,US,GOLDMAN SACHS GROUP INC 4.1% SNR MTN 15/07/2034 USD,91.61024,USD
BBG00003CZS1,US26884AAD54,"26884AAD5",B0YK414,EQR26,US,ERP OPERATING LTD PARTNERSHIP 7.57% SNR 15/08/2026 USD,104.81955,USD
BBG000049R47,US893817AB24,"893817AB2","2139300",RIG27A,US,TRANSOCEAN INTERNATIONAL LTD 8% DEB 15/04/2027,102.12222,USD
BBG002V0CSK3,US15361GBB05,"15361GBB0",BJJWBX9,FTS/42A,US,CENTRAL HUDSON GAS & ELECTRIC CORP 4.776% SNR MTN 01/04/42 USD,82.58506,USD
BBG000088244,US29736RAA86,"29736RAA8",B00YR00,EL33,US,ESTEE LAUDER COMPANIES INC 5.75% SNR 15/10/33,104.95989,USD
BBG000058LX6,US8447HBAE22,"8447HBAE2","2139913",WFC/28A,US,SOUTHTRUST BANK OF BIRMINGHAM 6.125% SUB MTN 09/01/28 USD,102.9341,USD
BBG00005JYS2,US01310QCW33,"01310QCW3",B0WR7Z2,SVU/28C,US,NEW ALBERTSONS LP 6.57% SNR MTN 23/02/28 USD,100.34045,USD
BBG00001Q8L7,US345370BS81,"345370BS8","2140238",F97,US,FORD MOTOR CO 7.7% DEB 15/05/2097,102.62472,USD
BBG007GNZJV2,US690742AE13,"690742AE1",BSKRV36,OC24,DE,OWENS CORNING 4.2% GTD SNR 01/12/2024 USD,98.65,USD
BBG000024DC8,US456866AL69,"456866AL6","2958925",IR25A,US,TRANE TECHNOLOGIES PLC 7.2% DEB 01/06/2025,102.59266,USD
BBG0000144Z5,US538021AH96,"538021AH9",B3BXGH7,NOC/36,US,LITTON INDUSTRIES INC 6.98% DEB 15/03/36,107.21744,USD
BBG007LPJQ34,US755111BY61,"755111BY6",BSTLLH3,RTN24,US,RTX CORPORATION 3.15% SNR 15/12/2024 USD,100,USD
BBG00MDP4H63,US00206RGP10,"00206RGP1",BG6F4B9,T29C,US,AT&T INC 6.5% SNR 15/03/2029,102.8628,USD
BBG00003DKF7,US008117AH61,"008117AH6","2824242",AET26,US,AETNA INC 7.625% DEB 15/08/26,103.88802,USD
BBG007K3W8R3,US461070AL87,"461070AL8",BSQXCH9,LNT/24,US,INTERSTATE POWER& LIGHT CO 3.25% DEB 01/12/2024 USD,100,USD
BBG007KCVP41,US209111FE85,"209111FE8",BVB2PD9,ED/24,US,CONSOLIDATED EDISON CO(N.Y) 3.3% DEB 01/12/2024 USD,100,USD
BBG00004WWK2,US904000AB26,"904000AB2",BD06B83,VLO/37,US,VALERO ENERGY CORP 6.75% SNR 15/10/37,107.21915,USD
BBG007NRXX19,US257375AH87,"257375AH8",BT9Z2G8,D/24A,US,EASTERN ENERGY GAS HOLDINGS LLC 3.6% SNR 15/12/2024 USD 'B',100,USD
BBG007P90MM4,US075887BF51,"075887BF5",BTDD0Y2,BDX24,US,BECTON DICKINSON & CO 3.734% SNR 15/12/2024 USD,99.92,USD
BBG00HJFLZL4,US34540TRS32,"34540TRS3",BD5W8M9,F/27Q,US,FORD MOTOR CREDIT CO LLC 4% SNR MTN 20/08/2027 USD'B,96.11812,USD
BBG0000BFFH6,US45138LAR42,"45138LAR4",B40JXY9,IDA/35,US,IDAHO POWER CORPORATION 5.3% SNR SEC 15/08/2035 USD,96.94072,USD
BBG00008CMY2,US29164RAA95,"29164RAA9",BF8QHD6,EDE33,US,EMPIRE DISTRICT ELECTRIC CO 6.7% SNR 15/11/2033,110.76532,USD
BBG0000349T7,US72018QAD34,"72018QAD3",B1392Y8,PNY25,US,PIEDMONT NATURAL GAS CO INC 7.4% SNR MTN 03/10/2025 USD,102.38372,USD
BBG007D40JD5,US21036PAN87,"21036PAN8",BRSG3M1,STZ24,US,CONSTELLATION BRANDS INC 4.75% GTD SNR 15/11/24 USD,99.98,USD
BBG00004TGH5,US84489PAE88,"84489PAE8",BZ5ZN94,SWX27,US,SOUTHWEST GAS HOLDINGS INC 6.76% MTN 24/09/27,104.71663,USD
BBG000034N07,US10075EAT55,"10075EAT5",B136KQ7,NGG/25,US,BOSTON GAS CO 7.25% SNR MTN 01/10/25 USD,103.99815,USD
BBG007GDSFM0,US254709AK45,"254709AK4",BSHZYF6,DFS24,US,DISCOVER FINANCIAL SERVICES 3.95% SNR 06/11/2024 USD,100,USD
BBG009H00B51,US14912HRW24,"14912HRW2",BYR5D95,CAT/25A,US,CATERPILLAR FINANCIAL SERVICES CORP3.25% SNR MTN 15/07/25 USD,100.45554,USD
BBG0000BTF63,US837004CA64,"837004CA6",B17N3W1,SCG/36,US,DOMINION ENERGY SOUTH CAROLINA INC 6.25% 1MTG 01/07/36,106.81073,USD
BBG000037F65,US450679AT20,"450679AT2","2572466",ITT25,US,ITT INC 7.4% DEB 15/11/2025,103.23166,USD
BBG008MYVGH5,US06050WGW91,"06050WGW9",BXQ9TW6,BAC41A,US,BANK OF AMERICA CORPORATION 4% SNR MTN 15/05/2041 USD,89.15368,USD
BBG009Z18RF5,US06050WHL28,"06050WHL2",BYQCX19,BAC40E,US,BANK OF AMERICA CORPORATION 4.125% SNR MTN 15/09/40 USD,86.39298,USD
BBG0034YCH03,US250847EK26,"250847EK2",B8H52H4,DTE/42,US,DTE ELECTRIC COMP 3.95% SNR SEC 15/06/42 USD,81.96015,USD
BBG0034YG7N6,US247109BR13,"247109BR1",B8HLJS2,EXC/42B,US,DELMARVA POWER & LIGHT COMPANY 4% 1MTG 01/06/2042 USD,81.02602,USD
BBG0032PSFB9,US452308AQ28,"452308AQ2",B83RFB9,ITW41,US,ILLINOIS TOOL WORKS INC 4.875% SNR 15/09/41,94.74224,USD
BBG00F80W0S1,US09709TAA97,"09709TAA9",BD2CJQ3,BAC/31B,US,BOFA FIN LLC MED TERM NTS BOOK 3.5%-VAR GTD 28/11/2031 USD,96.69484,USD
BBG002YG3GK1,US655844BH01,"655844BH0",B6TW1K5,NSC41,US,NORFOLK SOUTHERN CORP 4.837% SNR 01/10/2041 USD,93.93018,USD
BBG00001HBL0,US459200BB69,"459200BB6",B8DFHD9,IBM32D,US,INTERNATIONAL BUS MACH CORP 5.875% DEB 29/11/32,107.95201,USD
BBG00000WL60,US925524AH30,"925524AH3",B8CLL58,CBS/30,US,PARAMOUNT GLOBAL 7.875% DEB 30/07/30,110.67875,USD
BBG00363RRL8,US61166WAJ09,"61166WAJ0",B7XK7B5,MON42,US,MONSANTO CO 3.6% SNR 15/07/2042,64.49472,USD
BBG000023DZ4,US896678AD15,"896678AD1","2894308",ETN/26,US,EATON CORPORATION 7.875% DEB 01/06/26,105.86007,USD
BBG0037SV553,US31428XAT37,"31428XAT3",B8DMKV9,FDX42,US,FEDEX CORP 3.875% GTD SNR 01/08/42 USD,76.48499,USD
BBG007H0CWR2,US045487AB12,"045487AB1",BSKLJT0,ASB25,US,ASSOCIATED BANC-CORP 4.25% SUB 15/01/25,100,USD
BBG001Q7LYT4,US38141E2G35,"38141E2G3",,GS32,US,GOLDMAN SACHS GROUP INC 5.5% SNR MTN 15/06/2032 USD,103.80872,USD
BBG004P6L881,US38143CDC29,"38143CDC2",,GS42B,US,GOLDMAN SACHS GROUP INC 4.65% SNR MTN 15/06/42 USD,94.18445,USD
BBG00HC0N119,US92346MAS08,"92346MAS0",BYXGKN5,VZ47F,US,VERIZON COMMUNICATIONS 4.8% SNR MTN 15/08/2047 USD,87.05726,USD
BBG001HTZK11,US38141E2X67,"38141E2X6",,GS25A,US,GOLDMAN SACHS GROUP INC 5.3% SNR MTN 15/02/25 USD'D,100,USD
BBG000077HD4,US172967CT60,"172967CT6",B8F2RM7,C34,US,CITIGROUP INC 5.85% SNR 11/12/34,108.22766,USD
BBG002ZGYPL5,US144141DB18,"144141DB1",B88N0G2,DUK/42B,US,DUKE ENERGY PROGRESS LLC 4.1% 1MTG 15/05/42,84.34624,USD
BBG00381DP02,US110122AU20,"110122AU2",B8L71C4,BMY42,US,BRISTOL-MYERS SQUIBB CO 3.25% SNR 01/08/42,75.11931,USD
BBG00386XPZ1,US134429AZ25,"134429AZ2",B7JN3H6,CPB42,US,THE CAMPBELLS COMPANY 3.8% SNR 02/08/2042,77.08709,USD
BBG002Z5DTT6,US341081FG72,"341081FG7",B8C07L3,NEE/42A,US,FLORIDA POWER & LIGHT COMPANY 4.05% 1MTG 01/06/2042 USD,84.79625,USD
BBG006YFKQC2,US907818DY13,"907818DY1",BQ1KQB3,UNP25,US,UNION PACIFIC CORP 3.25% SNR 15/01/25,100,USD
BBG003369NB4,US907818DL91,"907818DL9",B8L2KZ5,UNP42,US,UNION PACIFIC CORP 4.3% SNR 15/06/2042,84.93464,USD
BBG0033B2GC4,US887317AP09,"887317AP0",B82YL79,TWX42,US,WARNER MEDIA LLC 4.9% DEB 15/06/2042,74.93876,USD
BBG007PZ2KQ4,US857477AN34,"857477AN3",BTGQPW1,STT24,US,STATE STREET CORPORATION 3.3% SNR 16/12/2024 USD,100,USD
BBG009BDBNJ6,US887317AX33,"887317AX3",BYYTH32,TWX45,US,WARNER MEDIA LLC 4.85% DEB 15/07/45,70.64644,USD
BBG00BCHLTT6,US17298C4H88,"17298C4H8",BYZR542,C35,US,CITIGROUP INC 4.05% SNR MTN 10/11/35 USD,86.66067,USD
BBG002ZKXFR3,US067901AH18,"067901AH1",B8L1XS6,GOLD42,US,BARRICK GOLD CORPORATION 5.25% SNR 01/04/2042 USD,98.44409,USD
BBG0033KBRH5,US65473QBB86,"65473QBB8",B846RN1,NI/43,US,NISOURCE INC 5.25% SNR 15/02/43,93.48417,USD
BBG0000MVWC2,US172967EP21,"172967EP2",B7HZ448,C38,US,CITIGROUP INC 6.875% SNR 05/03/38,111.57924,USD
BBG00006NN18,US345370BY59,"345370BY5",B89JSS7,F28A,US,FORD MOTOR CO 6.625% DEB 01/10/28,107.59334,USD
BBG0032VNXV0,US459200HF10,"459200HF1",B8J5PR3,IBM42,US,INTERNATIONAL BUS MACH CORP 4% SNR 20/06/2042 USD,83.10889,USD
BBG0033KCB98,US124857AJ27,"124857AJ2",B83R5T7,CBS42,US,PARAMOUNT GLOBAL 4.85% GTD SNR 01/07/42 USD,80.69208,USD
BBG0038VBNX7,US494550BN50,"494550BN5",B7W14K7,KMP42,US,KINDER MORGAN ENERGY PARTNERS 5% SNR 15/08/2042 USD,89.33461,USD
BBG0038VCCX0,US713448CC02,"713448CC0",B7Y6VD2,PEP42A,US,PEPSICO INC 3.6% SNR 13/08/2042 USD,79.31,USD
BBG0038PGD30,US29379VAY92,"29379VAY9",B8D1HN7,EPD/43,US,ENTERPRISE PRODS OPER LLC DISC 4.45% GTD SNR 15/02/43 USD,86.46222,USD
BBG0038PK836,US665772CJ60,"665772CJ6",B8KCXG8,XEL/42B,US,NORTHERN STATES POWER CO 3.4% 1MTG 15/08/2042 USD,76.51926,USD
BBG0038VF8Y5,US071813BE84,"071813BE8",B7HL2S6,BAX42,US,BAXTER INTERNATIONAL INC 3.65% GTD SNR 15/08/42 USD,70.42985,USD
BBG0038VCPK5,US59156RBD98,"59156RBD9",B815P82,MET42,US,METLIFE INC 4.125% SNR 13/08/2042 USD,84.38253,USD
BBG003NX7490,US010392FJ25,"010392FJ2",B905R28,SO/42C,US,ALABAMA POWER CO 3.85% SNR 01/12/2042 USD,80.95889,USD
BBG003NX7HR1,US42217KBB17,"42217KBB1",B911C97,WELL43,US,WELLTOWER OP LLC 5.125% SNR 15/03/43,92.42292,USD
BBG003MJ65C6,US824348AQ95,"824348AQ9",B93L8Z3,SHW42,US,SHERWIN-WILLIAMS CO 4% SNR 15/12/2042 USD,81.83723,USD
BBG003M5SGG4,US149123CB51,"149123CB5",B95BMR1,CAT42A,US,CATERPILLAR INC 3.803% DEB 15/08/2042 USD,82.4203,USD
BBG009BDD8P0,US898813AP54,"898813AP5",BYR58S9,FTS/25,US,TUSCON ELECTRIC POWER 3.05% SNR 15/03/25,99.95,USD
BBG003938PV9,US694308HA83,"694308HA8",B7MTCC9,PCG42A,US,PACIFIC GAS & ELECTRIC CO 3.75% SNR 15/08/2042 USD,74.0352,USD
BBG00386YDJ5,US29736RAF73,"29736RAF7",B65DHR1,EL42,US,ESTEE LAUDER COMPANIES INC 3.7% SNR 15/08/2042 USD,76.47369,USD
BBG00395JLF9,US15135UAH23,"15135UAH2",B7189W6,CVE42,US,CENOVUS ENERGY INC 4.45% SNR 15/09/42,78.50231,USD
BBG003B5DT10,US257559AJ34,"257559AJ3",B84VV12,UFS42,US,DOMTAR CORPORATION 6.25% GTD SNR 01/09/42 USD,58.62125,USD
BBG003B5DYH2,US91529YAJ55,"91529YAJ5",B89QQ28,UNM42,US,UNUM GROUP 5.75% SNR 15/08/42,98.95017,USD
BBG003P9MX36,US72650RBC51,"72650RBC5",B92Y2L7,PAA43,US,PLAINS ALL AMERICAN PIPELINE LP 4.3% SNR 31/01/2043 USD,80.80299,USD
BBG003PG5Q61,US444859BB73,"444859BB7",B8VGK80,HUM42,US,HUMANA INC 4.625% SNR 01/12/2042 USD,84.60719,USD
BBG003PG5KW5,US976656CE67,"976656CE6",B888RB1,WEC42,US,WISCONSIN ELECTRIC POWER CO 3.65% DEB 15/12/42,77.66879,USD
BBG003PS8JT3,US115637AL44,"115637AL4",B8Y9HC9,BFB43,US,BROWN-FORMAN CORP 3.75% SNR 15/01/2043 USD,79.12471,USD
BBG003B8KB06,US452308AR01,"452308AR0",B8G2XB7,ITW42,US,ILLINOIS TOOL WORKS INC 3.9% SNR 01/09/2042 USD,82.96404,USD
BBG00B9JV1N2,US49338LAB99,"49338LAB9",BYSXJ89,KEYS24,US,KEYSIGHT TECHNOLOGIES INC 4.55% SNR 30/10/2024 USD,100,USD
BBG003C4MXP7,US744448CG45,"744448CG4",B7V8P28,XEL/42,US,PUBLIC SERVICE CO OF COLORADO 3.6% 1MTG 15/09/2042 USD'42,77.29473,USD
BBG003CDD5Q7,US906548CJ95,"906548CJ9",B759FZ0,AEE/42,US,UNION ELECTRIC COMPANY 3.9% SNR SEC 15/09/2042 USD,81.4565,USD
BBG00005Z8L8,US191219BD57,"191219BD5",BFMD8B8,CCEP98,US,COCA-COLA REFRESHMENTS USA INC 7% DEB 15/05/2098,124.39762,USD
BBG00R0TKT55,XS2091666748,"00206RJR4",BK10439,T50,US,AT&T INC 4.25% SNR 01/03/2050 USD,76.1011,USD
BBG003CP4Y41,US931422AK51,"931422AK5",B88JSW2,WAG42,US,WALGREEN CO 4.4% SNR 15/09/2042,87.38586,USD
BBG003CP45K6,US74456QBA31,"74456QBA3",B80G7N5,PEG/42,US,PUBLIC SERVICE ELECTRIC & GAS CO 3.65% SNR SEC 01/09/42 USD,78.37697,USD
BBG003CP4C12,US589331AS67,"589331AS6",B736C41,MRK42,US,MERCK & CO INC 3.6% SNR 15/09/2042,78.84964,USD
BBG003CP3Y97,US25746UBQ13,"25746UBQ1",B8QB5D0,D42,US,DOMINION ENERGY INC 4.05% SNR 15/09/2042 USD'C',79.59676,USD
BBG00000TPY4,US037411AJ46,"037411AJ4",B3BQ0Z2,APA26,US,APA CORPORATION 7.7% SNR 15/03/2026,102.1044,USD
BBG003QBMG37,US341081FH55,"341081FH5",B84TPY7,NEE/42B,US,FLORIDA POWER & LIGHT COMPANY 3.8% 1MTG 15/12/2042 USD,81.87055,USD
BBG00005HKR5,US34110QAL23,"34110QAL2",B4RDB17,DUK/28,US,DUKE ENERGY FLA LLC 6.75% SNR MTN 01/02/28 USD,106.44875,USD
BBG003NK5X05,US893574AF07,"893574AF0",B96NB24,WMB/42,US,TRANSCONTINENTAL GAS PIPE LINE CORP4.45% SNR 01/08/42,85.58961,USD
BBG003LXR980,US369550AT59,"369550AT5",B8ZQTV2,GD42,US,GENERAL DYNAMICS CORP 3.6% GTD SNR 15/11/2042 USD,80.78249,USD
BBG003LZSS91,US92343VBG86,"92343VBG8",B8HCRP8,VZ42,US,VERIZON COMMUNICATIONS 3.85% SNR 01/11/42,81.10208,USD
BBG003LZX5G7,US00817YAM03,"00817YAM0",B82CZV5,AET42A,US,AETNA INC 4.125% SNR 15/11/2042 USD,79.1081,USD
BBG003LZR495,US74005PBD50,"74005PBD5",B7XR437,PX42,US,LINDE INC. 3.55% SNR 07/11/2042 USD,80.504,USD
BBG003LXQKY7,US28370TAF66,"28370TAF6",B82B6J7,KMI/42,US,KINDER MORGAN ENERGY PARTNERS 4.7% GTD SNR 01/11/2042 USD,86.61124,USD
BBG003C77756,US74251VAF94,"74251VAF9",B8DRTZ1,PFG42,US,PRINCIPAL FINANCIAL GROUP 4.625% GTD SNR 15/09/42 USD,90.10036,USD
BBG007FFM3H5,US38143C2F77,"38143C2F7",BTF8RS8,GS40D,US,GOLDMAN SACHS GROUP INC 4% SNR MTN 15/11/2040 USD'D,85.0985,USD
BBG00B2NWCG3,US38143C5E75,"38143C5E7",BYVJMN0,GS45K,US,GOLDMAN SACHS GROUP INC 4.25% SNR MTN 15/10/45 USD,86.99317,USD
BBG009H04P38,US38143C4J71,"38143C4J7",BYR5DF1,GS45A,US,GOLDMAN SACHS GROUP INC 4.4% SNR MTN 15/07/45 USD'D,85.48838,USD
BBG00005H6V1,US416592AE30,"416592AE3","2736574",HIG/31,US,HARTFORD LIFE INC 7.375% SNR 01/03/31,102.3534,USD
BBG003M5LHQ8,US260543CG61,"260543CG6",B7QD380,DWDP42,DE,DOW CHEMICAL CO 4.375% SNR 15/11/42,83.05632,USD
BBG003D8KFL2,US842434CK62,"842434CK6",B8DRYG7,SRE/42,US,SOUTHERN CALIFORNIA GAS CO 3.75% 1MTG 15/09/42 USD'NN',77.55823,USD
BBG003D8KZ56,US26442CAN48,"26442CAN4",B8GF9H4,DUK/42A,US,DUKE ENERGY CAROLINAS LLC 4% 1MTG 30/09/2042 USD,83.74596,USD
BBG00002DNM5,US207597CZ64,"207597CZ6","2810683",NU/24,US,CONNECTICUT LIGHT & POWER CO 7.875% 1MTG 01/10/2024 USD,100,USD
BBG003ML5M44,US74251VAJ17,"74251VAJ1",B92N2H0,PFG43,US,PRINCIPAL FINANCIAL GROUP 4.35% GTD SNR 15/05/43 USD,87.92591,USD
BBG009T0SV18,US38143C4U27,"38143C4U2",BYZ3P39,GS40G,US,GOLDMAN SACHS GROUP INC 4.1% SNR MTN 15/08/40 USD'D,86.3434,USD
BBG003FCGQ78,US911312AR75,"911312AR7",B6Y3NC9,UPS42,US,UNITED PARCEL SERVICE INC 3.625% SNR 01/10/42,79.89649,USD
BBG003BMPWK2,US026874CW57,"026874CW5",B8BG541,AIG37A,US,AMERICAN INTERNATIONAL GROUP INC 6.82% SNR 15/11/2037 USD,113.84032,USD
BBG00HS36CF6,US92346MBD20,"92346MBD2",BF0M6M4,VZ47I,US,VERIZON COMMUNICATIONS 4.7% SNR 15/09/2047 USD,85.58515,USD
BBG003MS10D1,US637071AK74,"637071AK7",B91PBL4,NOV42,US,NOV INC 3.95% SNR 01/12/2042 USD,75.26891,USD
BBG003MMKXQ7,US55616XAJ63,"55616XAJ6",B92RSZ2,M/43,US,MACY'S RETAIL HLDGS INC 4.3% GTD SNR 15/02/2043 USD,65.54696,USD
BBG003MS0FD9,US341099CR80,"341099CR8",B8HN579,DUK/42C,US,DUKE ENERGY FLA LLC 3.85% 1MTG 15/11/42,80.9942,USD
BBG003M9RQC9,US136375BW18,"136375BW1",B7XX918,CNI42,US,CANADIAN NATIONAL RAILWAYS CO 3.5% SNR 15/11/2042,77.67659,USD
BBG001V9C0W4,US878742AW53,"878742AW5",B7VFK35,TECK41,US,TECK RESOURCES LIMITED 6.25% GTD SNR 15/07/41 USD,101.32966,USD
BBG003MSBMC3,US15361GBC87,"15361GBC8",BK1V6Y7,FTS/42B,US,CENTRAL HUDSON GAS & ELECTRIC CORP 4.065% SNR MTN 01/10/42 USD,73.34274,USD
BBG000034RD4,US583334AB33,"583334AB3","2107006",WRK32,US,MEADWESTVACO CORPORATION 6.8% DEB 15/11/2032,109.58282,USD
BBG000065759,US019512AM47,"019512AM4","2533537",HON33,US,HONEYWELL INTERNATIONAL INC 9.065% DEB 01/06/33,126.31713,USD
BBG003G03001,US369604BF92,"369604BF9",B8Q71Q3,GE42,DE,GE AEROSPACE 4.125% SNR 09/10/2042 USD,86.09235,USD
